sold_date,status,price,bed,bath,acre_lot,full_address,street,city,state,zip_code,house_size
2019-01-02,for_sale,3480000.0,6.0,7.0,0.19,"116 Bluff Rd, Fort Lee, NJ, 07024",116 Bluff Rd,Fort Lee,New Jersey,7024.0,
2019-01-02,for_sale,575000.0,4.0,3.0,0.13,"29 Village Rd, Clifton, NJ, 07013",29 Village Rd,Clifton,New Jersey,7013.0,
2019-01-02,for_sale,3480000.0,6.0,7.0,0.19,"116 Bluff Rd, Fort Lee, NJ, 07024",116 Bluff Rd,Fort Lee,New Jersey,7024.0,
2019-01-02,for_sale,435000.0,3.0,2.0,0.1,"192 Linwood Ave, Bogota, NJ, 07603",192 Linwood Ave,Bogota,New Jersey,7603.0,
2019-01-02,for_sale,349900.0,4.0,2.0,0.24,"16 Dorwin Dr, West Springfield, MA, 01089",16 Dorwin Dr,West Springfield,Massachusetts,1089.0,2002.0
2019-01-02,for_sale,575000.0,4.0,3.0,0.13,"29 Village Rd, Clifton, NJ, 07013",29 Village Rd,Clifton,New Jersey,7013.0,
2019-01-02,for_sale,3480000.0,6.0,7.0,0.19,"116 Bluff Rd, Fort Lee, NJ, 07024",116 Bluff Rd,Fort Lee,New Jersey,7024.0,
2019-01-02,for_sale,349900.0,4.0,2.0,0.24,"16 Dorwin Dr, West Springfield, MA, 01089",16 Dorwin Dr,West Springfield,Massachusetts,1089.0,2002.0
2019-01-02,for_sale,435000.0,3.0,2.0,0.1,"192 Linwood Ave, Bogota, NJ, 07603",192 Linwood Ave,Bogota,New Jersey,7603.0,
2019-01-02,for_sale,349900.0,4.0,2.0,0.24,"16 Dorwin Dr, West Springfield, MA, 01089",16 Dorwin Dr,West Springfield,Massachusetts,1089.0,2002.0
2019-01-02,for_sale,349900.0,4.0,2.0,0.24,"16 Dorwin Dr, West Springfield, MA, 01089",16 Dorwin Dr,West Springfield,Massachusetts,1089.0,2002.0
2019-01-02,for_sale,435000.0,3.0,2.0,0.1,"192 Linwood Ave, Bogota, NJ, 07603",192 Linwood Ave,Bogota,New Jersey,7603.0,
2019-01-02,for_sale,360000.0,2.0,1.0,13.0,"1257 Smyth Rd, Hooksett, NH, 03106",1257 Smyth Rd,Hooksett,New Hampshire,3106.0,1332.0
2019-01-02,for_sale,435000.0,3.0,2.0,0.1,"192 Linwood Ave, Bogota, NJ, 07603",192 Linwood Ave,Bogota,New Jersey,7603.0,
2019-01-02,for_sale,235900.0,2.0,1.0,0.13,"830 S Main St, Manville, NJ, 08835",830 S Main St,Manville,New Jersey,8835.0,
2019-01-02,for_sale,435000.0,3.0,2.0,0.1,"192 Linwood Ave, Bogota, NJ, 07603",192 Linwood Ave,Bogota,New Jersey,7603.0,
2019-01-02,for_sale,435000.0,3.0,2.0,0.1,"192 Linwood Ave, Bogota, NJ, 07603",192 Linwood Ave,Bogota,New Jersey,7603.0,
2019-01-02,for_sale,575000.0,4.0,3.0,0.13,"29 Village Rd, Clifton, NJ, 07013",29 Village Rd,Clifton,New Jersey,7013.0,
2019-01-02,for_sale,575000.0,7.0,3.0,0.08,"268 E 21st St, Paterson, NJ, 07513",268 E 21st St,Paterson,New Jersey,7513.0,
2019-01-02,for_sale,575000.0,7.0,3.0,0.08,"268 E 21st St, Paterson, NJ, 07513",268 E 21st St,Paterson,New Jersey,7513.0,
2019-01-02,for_sale,349900.0,4.0,2.0,0.24,"16 Dorwin Dr, West Springfield, MA, 01089",16 Dorwin Dr,West Springfield,Massachusetts,1089.0,2002.0
2019-01-02,for_sale,349900.0,4.0,2.0,0.24,"16 Dorwin Dr, West Springfield, MA, 01089",16 Dorwin Dr,West Springfield,Massachusetts,1089.0,2002.0
2019-01-02,for_sale,349900.0,4.0,2.0,0.24,"16 Dorwin Dr, West Springfield, MA, 01089",16 Dorwin Dr,West Springfield,Massachusetts,1089.0,2002.0
2019-01-02,for_sale,435000.0,3.0,2.0,0.1,"192 Linwood Ave, Bogota, NJ, 07603",192 Linwood Ave,Bogota,New Jersey,7603.0,
2019-01-02,for_sale,575000.0,4.0,3.0,0.13,"29 Village Rd, Clifton, NJ, 07013",29 Village Rd,Clifton,New Jersey,7013.0,
2019-01-02,for_sale,235900.0,2.0,1.0,0.13,"830 S Main St, Manville, NJ, 08835",830 S Main St,Manville,New Jersey,8835.0,
2019-01-02,for_sale,575000.0,4.0,3.0,0.13,"29 Village Rd, Clifton, NJ, 07013",29 Village Rd,Clifton,New Jersey,7013.0,
2019-01-02,for_sale,575000.0,7.0,3.0,0.08,"268 E 21st St, Paterson, NJ, 07513",268 E 21st St,Paterson,New Jersey,7513.0,
2019-01-02,for_sale,575000.0,4.0,3.0,0.13,"29 Village Rd, Clifton, NJ, 07013",29 Village Rd,Clifton,New Jersey,7013.0,
2019-01-02,for_sale,575000.0,4.0,3.0,0.13,"29 Village Rd, Clifton, NJ, 07013",29 Village Rd,Clifton,New Jersey,7013.0,
2019-01-02,for_sale,3480000.0,6.0,7.0,0.19,"116 Bluff Rd, Fort Lee, NJ, 07024",116 Bluff Rd,Fort Lee,New Jersey,7024.0,
2019-01-02,for_sale,435000.0,3.0,2.0,0.1,"192 Linwood Ave, Bogota, NJ, 07603",192 Linwood Ave,Bogota,New Jersey,7603.0,
2019-01-02,for_sale,3480000.0,6.0,7.0,0.19,"116 Bluff Rd, Fort Lee, NJ, 07024",116 Bluff Rd,Fort Lee,New Jersey,7024.0,
2019-01-02,for_sale,435000.0,3.0,2.0,0.1,"192 Linwood Ave, Bogota, NJ, 07603",192 Linwood Ave,Bogota,New Jersey,7603.0,
2019-01-02,for_sale,355000.0,3.0,3.0,0.26,"67 Colony St, Hamden, CT, 06518",67 Colony St,Hamden,Connecticut,6518.0,1564.0
2019-01-02,for_sale,3480000.0,6.0,7.0,0.19,"116 Bluff Rd, Fort Lee, NJ, 07024",116 Bluff Rd,Fort Lee,New Jersey,7024.0,
2019-01-02,for_sale,360000.0,2.0,1.0,13.0,"1257 Smyth Rd, Hooksett, NH, 03106",1257 Smyth Rd,Hooksett,New Hampshire,3106.0,1332.0
2019-01-02,for_sale,575000.0,4.0,3.0,0.13,"29 Village Rd, Clifton, NJ, 07013",29 Village Rd,Clifton,New Jersey,7013.0,
2019-01-02,for_sale,349900.0,4.0,2.0,0.24,"16 Dorwin Dr, West Springfield, MA, 01089",16 Dorwin Dr,West Springfield,Massachusetts,1089.0,2002.0
2019-01-02,for_sale,3480000.0,6.0,7.0,0.19,"116 Bluff Rd, Fort Lee, NJ, 07024",116 Bluff Rd,Fort Lee,New Jersey,7024.0,
2019-01-02,for_sale,409000.0,,,,"4300 Niagara Ave, Wildwood, NJ, 08260",4300 Niagara Ave,Wildwood,New Jersey,8260.0,
2019-01-02,for_sale,360000.0,2.0,1.0,13.0,"1257 Smyth Rd, Hooksett, NH, 03106",1257 Smyth Rd,Hooksett,New Hampshire,3106.0,1332.0
2019-01-02,for_sale,575000.0,7.0,3.0,0.08,"268 E 21st St, Paterson, NJ, 07513",268 E 21st St,Paterson,New Jersey,7513.0,
2019-01-02,for_sale,575000.0,7.0,3.0,0.08,"268 E 21st St, Paterson, NJ, 07513",268 E 21st St,Paterson,New Jersey,7513.0,
2019-01-02,for_sale,435000.0,3.0,2.0,0.1,"192 Linwood Ave, Bogota, NJ, 07603",192 Linwood Ave,Bogota,New Jersey,7603.0,
2019-01-02,for_sale,355000.0,3.0,3.0,0.26,"67 Colony St, Hamden, CT, 06518",67 Colony St,Hamden,Connecticut,6518.0,1564.0
2019-01-02,for_sale,360000.0,2.0,1.0,13.0,"1257 Smyth Rd, Hooksett, NH, 03106",1257 Smyth Rd,Hooksett,New Hampshire,3106.0,1332.0
2019-01-02,for_sale,575000.0,7.0,3.0,0.08,"268 E 21st St, Paterson, NJ, 07513",268 E 21st St,Paterson,New Jersey,7513.0,
2019-01-02,for_sale,349900.0,4.0,2.0,0.24,"16 Dorwin Dr, West Springfield, MA, 01089",16 Dorwin Dr,West Springfield,Massachusetts,1089.0,2002.0
2019-01-02,for_sale,3480000.0,6.0,7.0,0.19,"116 Bluff Rd, Fort Lee, NJ, 07024",116 Bluff Rd,Fort Lee,New Jersey,7024.0,
2019-01-02,for_sale,435000.0,3.0,2.0,0.1,"192 Linwood Ave, Bogota, NJ, 07603",192 Linwood Ave,Bogota,New Jersey,7603.0,
2019-01-02,for_sale,349900.0,4.0,2.0,0.24,"16 Dorwin Dr, West Springfield, MA, 01089",16 Dorwin Dr,West Springfield,Massachusetts,1089.0,2002.0
2019-01-02,for_sale,435000.0,3.0,2.0,0.1,"192 Linwood Ave, Bogota, NJ, 07603",192 Linwood Ave,Bogota,New Jersey,7603.0,
2019-01-02,for_sale,575000.0,4.0,3.0,0.13,"29 Village Rd, Clifton, NJ, 07013",29 Village Rd,Clifton,New Jersey,7013.0,
2019-01-02,for_sale,235900.0,2.0,1.0,0.13,"830 S Main St, Manville, NJ, 08835",830 S Main St,Manville,New Jersey,8835.0,
2019-01-02,for_sale,575000.0,7.0,3.0,0.08,"268 E 21st St, Paterson, NJ, 07513",268 E 21st St,Paterson,New Jersey,7513.0,
2019-01-02,for_sale,435000.0,3.0,2.0,0.1,"192 Linwood Ave, Bogota, NJ, 07603",192 Linwood Ave,Bogota,New Jersey,7603.0,
2019-01-02,for_sale,355000.0,3.0,3.0,0.26,"67 Colony St, Hamden, CT, 06518",67 Colony St,Hamden,Connecticut,6518.0,1564.0
2019-01-02,for_sale,360000.0,2.0,1.0,13.0,"1257 Smyth Rd, Hooksett, NH, 03106",1257 Smyth Rd,Hooksett,New Hampshire,3106.0,1332.0
2019-01-02,for_sale,575000.0,7.0,3.0,0.08,"268 E 21st St, Paterson, NJ, 07513",268 E 21st St,Paterson,New Jersey,7513.0,
2019-01-02,for_sale,575000.0,7.0,3.0,0.08,"268 E 21st St, Paterson, NJ, 07513",268 E 21st St,Paterson,New Jersey,7513.0,
2019-01-02,for_sale,575000.0,7.0,3.0,0.08,"268 E 21st St, Paterson, NJ, 07513",268 E 21st St,Paterson,New Jersey,7513.0,
2019-01-02,for_sale,360000.0,2.0,1.0,13.0,"1257 Smyth Rd, Hooksett, NH, 03106",1257 Smyth Rd,Hooksett,New Hampshire,3106.0,1332.0
2019-01-02,for_sale,435000.0,3.0,2.0,0.1,"192 Linwood Ave, Bogota, NJ, 07603",192 Linwood Ave,Bogota,New Jersey,7603.0,
2019-01-02,for_sale,3480000.0,6.0,7.0,0.19,"116 Bluff Rd, Fort Lee, NJ, 07024",116 Bluff Rd,Fort Lee,New Jersey,7024.0,
2019-01-02,for_sale,360000.0,2.0,1.0,13.0,"1257 Smyth Rd, Hooksett, NH, 03106",1257 Smyth Rd,Hooksett,New Hampshire,3106.0,1332.0
2019-01-02,for_sale,360000.0,2.0,1.0,13.0,"1257 Smyth Rd, Hooksett, NH, 03106",1257 Smyth Rd,Hooksett,New Hampshire,3106.0,1332.0
2019-01-02,for_sale,3480000.0,6.0,7.0,0.19,"116 Bluff Rd, Fort Lee, NJ, 07024",116 Bluff Rd,Fort Lee,New Jersey,7024.0,
2019-01-02,for_sale,575000.0,7.0,3.0,0.08,"268 E 21st St, Paterson, NJ, 07513",268 E 21st St,Paterson,New Jersey,7513.0,
2019-01-02,for_sale,349900.0,4.0,2.0,0.24,"16 Dorwin Dr, West Springfield, MA, 01089",16 Dorwin Dr,West Springfield,Massachusetts,1089.0,2002.0
